City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
155,Chuy,-33.6971,-53.4616,64.56,80,0,7.02,UY,2022-01-30 03:09:50,clear sky
156,Ville-Marie,47.3335,-79.433,-8.0,100,68,2.15,CA,2022-01-30 03:09:51,broken clouds
157,Qaanaaq,77.484,-69.3632,-5.37,95,100,4.5,GL,2022-01-30 03:09:51,overcast clouds
158,Netivot,31.4222,34.5886,44.62,71,0,4.32,IL,2022-01-30 03:09:52,clear sky
159,Mecca,21.4267,39.8261,65.21,60,75,5.17,SA,2022-01-30 03:07:14,broken clouds
160,Vite,17.2833,74.55,69.12,29,100,1.5,IN,2022-01-30 03:09:54,overcast clouds
161,East London,-33.0153,27.9116,68.47,85,11,5.57,ZA,2022-01-30 03:07:19,few clouds
162,Winnemucca,40.973,-117.7357,29.1,63,0,4.61,US,2022-01-30 03:09:55,clear sky
163,Tiksi,71.6872,128.8694,-9.65,97,51,3.67,RU,2022-01-30 03:09:55,broken clouds
164,Necochea,-38.5473,-58.7368,74.03,64,19,19.33,AR,2022-01-30 03:09:56,few clouds
165,Calabozo,8.9242,-67.4293,78.75,41,17,9.64,VE,2022-01-30 03:09:57,few clouds
166,Cherskiy,68.75,161.3,-26.52,100,97,2.91,RU,2022-01-30 03:09:57,overcast clouds
167,Kazan,55.7887,49.1221,12.81,97,93,6.82,RU,2022-01-30 03:09:58,snow
168,Hamilton,39.1834,-84.5333,21.99,71,73,1.99,US,2022-01-30 03:00:00,broken clouds
169,The Pas,53.8251,-101.2541,-9.74,100,85,4.16,CA,2022-01-30 03:09:59,overcast clouds
170,Esperance,-33.8667,121.9,82.62,45,8,9.31,AU,2022-01-30 03:09:59,clear sky
171,Koroni,36.8,21.95,51.51,67,70,11.36,GR,2022-01-30 03:09:59,broken clouds
172,Yellowknife,62.456,-114.3525,-14.58,86,81,5.01,CA,2022-01-30 03:09:33,broken clouds
173,Mount Gambier,-37.8333,140.7667,78.42,52,52,8.37,AU,2022-01-30 03:10:00,broken clouds
174,Svetlogorsk,52.6333,29.7333,28.11,96,100,18.57,BY,2022-01-30 03:10:01,snow
175,Saint-Pierre,-21.3393,55.4781,78.48,69,19,13.8,RE,2022-01-30 03:10:01,few clouds
176,Sayat,38.7839,63.8803,37.78,63,100,8.7,TM,2022-01-30 03:10:01,overcast clouds
177,Tres Arroyos,-38.3739,-60.2798,73.4,57,75,18.19,AR,2022-01-30 03:10:02,broken clouds
178,Karratha,-20.7377,116.8463,96.17,36,64,11.77,AU,2022-01-30 03:10:02,broken clouds
179,Sfantu Gheorghe,45.8667,25.7833,19.81,94,100,3.89,RO,2022-01-30 03:10:03,light snow
180,Honiara,-9.4333,159.95,86.22,67,100,6.02,SB,2022-01-30 03:10:03,overcast clouds
181,Torbay,47.6666,-52.7314,44.28,96,100,29.93,CA,2022-01-30 03:11:04,heavy intensity rain
182,Mehamn,71.0357,27.8492,17.98,85,79,4.94,NO,2022-01-30 03:02:09,light snow
183,Sarany,58.5,58.8833,0.79,99,100,2.39,RU,2022-01-30 03:11:05,overcast clouds
184,Port Elizabeth,-33.918,25.5701,59.09,91,0,4.9,ZA,2022-01-30 03:09:52,clear sky
185,Bengkulu,-3.8004,102.2655,82.96,72,100,4.07,ID,2022-01-30 03:11:06,moderate rain
186,College,64.8569,-147.8028,-11.25,70,20,0.0,US,2022-01-30 03:11:06,few clouds
